3274.59   3274.59   
3337.65   3337.65   
3269.53   3269.53   
3163.82   3163.82   
3103.59   3103.59   
3220.2    3220.2    
3240.94   3240.94   
3275.1    3275.1    
3163.7    3163.7    
3148.26   3148.26   
3271.09   3271.09   
3320.11   3320.11   
3375.72   3375.72   
3101.26   3101.26   
3130.24   3130.24   
3192.89   3192.89   
3275.44   3275.44   
3295.93   3295.93   
3095.12   3095.12   
3077.91   3077.91   
3251.67   3251.67   
3188.29   3188.29   
3287.74   3287.74   
3102.65   3102.65   
3098.78   3098.78   
