2290.55	5.17403	5.17403	2315.62	40.983	40.983
2300.37	3.98618	3.98618	2296.63	26.5791	26.5791
2335.96	4.2673	4.2673	2318.7	29.6954	29.6954
2371.54	9.09704	9.09704	2390.4	83.9847	83.9847
2351.2	4.52408	4.52408	2394.02	32.0669	32.0669
2306.94	5.42536	5.42536	2341.39	46.1387	46.1387
2319.59	4.56814	4.56814	2359.08	33.2487	33.2487
2363.05	4.0452	4.0452	2335.17	26.038	26.038
2362.03	3.98671	3.98671	2386.07	26.1613	26.1613
2315.09	4.00159	4.00159	2311.86	23.342	23.342
2365.86	3.93162	3.93162	2328.32	23.8588	23.8588
2345.73	3.97018	3.97018	2310.34	24.9261	24.9261
2362.21	4.12701	4.12701	2314.94	27.2018	27.2018
2348.48	4.2099	4.2099	2297.42	28.9733	28.9733
2324.85	3.86184	3.86184	2324.11	23.433	23.433
2333.65	4.08154	4.08154	2322.97	25.9378	25.9378
2362.65	3.98702	3.98702	2330.65	25.0063	25.0063
2350.15	3.90941	3.90941	2299.1	24.2959	24.2959
2326.88	4.59029	4.59029	2352.1	33.1569	33.1569
2327.58	4.02051	4.02051	2296.43	25.5555	25.5555
2344.85	6.42829	6.42829	2357.84	56.0358	56.0358
2350.99	4.91369	4.91369	2433.13	38.2507	38.2507
2411.41	4.22433	4.22433	2354.88	28.4812	28.4812
2377.33	4.192	4.192	2365.22	28.8613	28.8613
2378.82	5.5447	5.5447	2302.35	42.5584	42.5584
